question,option1,option2,option3,answer
What is the capital of Australia?,Sydney,Canberra,Melbourne,Canberra
Who painted the Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent Van Gogh,Leonardo da Vinci
Which planet is known as the Red Planet?,Mars,Jupiter,Venus,Mars
Who wrote the play 'Romeo and Juliet'?,William Shakespeare,Oscar Wilde,Charles Dickens,William Shakespeare
Which element has the chemical symbol 'O'?,Gold,Oxygen,Osmium,Oxygen
What is the largest mammal in the world?,Elephant,Blue Whale,Giraffe,Blue Whale
Which country hosted the 2016 Summer Olympics?,Brazil,Japan,China,Brazil
In which continent is the Sahara Desert located?,Asia,Africa,Australia,Africa
How many degrees are in a right angle?,90,45,180,90
What is H2O more commonly known as?,Salt,Water,Hydrogen,Water
